selection,date,begin_Time,time,end_Time,low_Freq,high_Freq,call_type,call_category
1,9/17/2021,3037.189923,10:50,3037.573687,602.8,3579.3,pulse.flat,pc
2,9/17/2021,3040.003044,10:50,3041.328792,339.1,3617,pulse.flat.seg,pc
3,9/17/2021,3047.264131,10:50,3049.100154,300,4628.6,pulse.flat.seg,pc
4,9/17/2021,3051.859972,10:50,3053.898074,244.068,1464.407,pulse.flat,pc
5,9/17/2021,3094.345263,10:51,3094.506925,361.8,643.2,flatws,ws
6,9/17/2021,3094.801382,10:51,3095.65011,361.8,643.2,flatws,ws
7,9/17/2021,3097.767433,10:51,3098.84932,297.345,672.5,flatws.seg,ws
8,9/17/2021,3110.739028,10:51,3112.401843,420.3,3614.7,pulse.flat.seg,pc
9,9/17/2021,3115.259804,10:51,3116.882203,336.3,4077.1,pulse.flat,pc
10,9/17/2021,3131.848728,10:52,3133.321011,168.1,4035,pulse.flat,pc
11,9/17/2021,3135.769376,10:52,3135.94901,546.4,1134.9,dws,ws
12,9/17/2021,3138.293768,10:52,3139.145383,378.3,3614.7,pulse.flat,pc
13,9/17/2021,3157.344106,10:52,3158.550801,420.3,4245.2,pulse.flat,pc
14,9/17/2021,3165.928402,10:52,3166.990756,420.3,1387,pulse.flat,pc
15,9/17/2021,3168.289829,10:52,3169.554261,210.2,1260.9,pulse.flat.seg,pc
16,9/17/2021,3170.062343,10:52,3171.274812,588.4,2563.9,pulse.flat,pc
17,9/17/2021,3173.942258,10:52,3175.402994,336.3,1597.2,pulse.flat.seg,pc
18,9/17/2021,3203.286957,10:53,3203.494809,1513.1,1807.4,flatws,ws
19,9/17/2021,3203.771944,10:53,3203.945154,1639.2,1849.4,flatws,ws
20,9/17/2021,3204.251158,10:53,3204.372405,1555.2,1765.3,flatws,ws
21,9/17/2021,3205.428074,10:53,3205.889407,630.5,1555.2,modws,ws
22,9/17/2021,3213.350462,10:53,3214.713046,462.3,3194.4,pulse.flat,pc
23,9/17/2021,3216.50867,10:53,3217.911669,420.3,3320.5,pulse.flat,pc
24,9/17/2021,3220.071018,10:53,3221.133371,672.5,4287.2,pulse.flat,pc
25,9/17/2021,3221.85309,10:53,3221.983733,420.3,756.6,flatws,ws
26,9/17/2021,3222.180544,10:53,3222.296017,462.3,1134.9,dws,ws
27,9/17/2021,3222.992506,10:53,3224.274258,588.4,3951,pulse.flat,pc
28,9/17/2021,3227.865475,10:53,3229.239606,588.4,4287.2,pulse.flat,pc
29,9/17/2021,3240.758075,10:54,3240.948606,1301.695,1505.085,flatws,ws
30,9/17/2021,3241.277704,10:54,3241.560612,1179.661,1545.763,flatws.seg,ws
31,9/17/2021,3241.618349,10:54,3241.895484,1586.441,1911.864,flatws.seg,ws
32,9/17/2021,3243.352452,10:54,3244.8181,447.458,3701.695,pulse.flat,pc
33,9/17/2021,3243.691306,10:54,3243.968922,1220.339,24000,pulse.flat.seg,pc
34,9/17/2021,3245.777508,10:54,3245.887738,325.424,24000,pulse.flat,pc
35,9/17/2021,3247.289568,10:54,3247.424293,935.593,13627.119,pulse.flat,pc
36,9/17/2021,3249.841189,10:54,3251.143537,569.492,4271.186,pulse.flat,pc
37,9/17/2021,3261.31436,10:54,3262.347256,406.78,4393.22,pulse.flat,pc
38,9/17/2021,3263.167857,10:54,3263.81699,569.492,976.271,flatws,ws
39,9/17/2021,3267.142393,10:54,3267.350605,488.136,1016.949,dws,ws
40,9/17/2021,3273.262825,10:54,3273.450625,1342.373,1627.119,flatws,ws
41,9/17/2021,3273.626176,10:54,3274.030353,1220.339,1464.407,flatws,ws
42,9/17/2021,3273.809893,10:54,3274.405952,1749.153,1993.22,flatws,ws
43,9/17/2021,3275.026506,10:54,3276.210458,447.458,4352.542,pulse.flat,pc
44,9/17/2021,3277.41666,10:54,3277.73102,488.136,894.915,flatws,ws
45,9/17/2021,3280.036473,10:54,3280.734596,1505.085,3783.051,flatws,ws
46,9/17/2021,3288.015002,10:54,3288.993799,650.847,7891.525,pulse.flat.seg,pc
47,9/17/2021,3294.451292,10:54,3295.738818,569.492,6915.254,pulse.flat.seg,pc
48,9/17/2021,3296.697245,10:54,3298.348512,528.814,7932.203,pulse.flat.seg,pc
49,9/17/2021,3299.631632,10:54,3300.936479,488.136,7403.39,pulse.flat,pc
50,9/17/2021,3302.564651,10:55,3303.736704,366.102,9071.186,pulse.flat.seg,pc
51,9/17/2021,3305.389138,10:55,3306.555418,691.525,7891.525,pulse.flat,pc
52,9/17/2021,3307.88336,10:55,3309.309454,610.169,6345.763,pulse.flat,pc
53,9/17/2021,3310.475733,10:55,3311.740164,569.492,4962.712,pulse.flat,pc
54,9/17/2021,3314.009228,10:55,3314.904146,650.847,8257.627,pulse.flat,pc
55,9/17/2021,3315.51038,10:55,3316.324466,569.492,8705.085,pulse.flat,pc
56,9/17/2021,3318.252884,10:55,3319.292143,366.102,8745.763,pulse.flat,pc
57,9/17/2021,3319.782904,10:55,3320.556575,284.746,8989.831,pulse.flat,pc
58,9/17/2021,3325.810621,10:55,3326.006925,1952.542,5247.458,pulse.flat,pc
59,9/17/2021,3327.635097,10:55,3327.987291,650.847,7281.356,pulse.flat,pc
60,9/17/2021,3329.407611,10:55,3330.700911,488.136,8461.017,pulse.flat,pc
61,9/17/2021,3332.68705,10:55,3333.801366,447.458,8867.797,pulse.flat,pc
62,9/17/2021,3335.031172,10:55,3335.931862,772.881,7647.458,pulse.flat,pc
63,9/17/2021,3338.18359,10:55,3339.332548,650.847,8176.271,pulse.flat,pc
64,9/17/2021,3342.542719,10:55,3342.877591,1993.22,8054.237,pulse.flat,pc
65,9/17/2021,3344.915693,10:55,3345.885668,1138.983,7322.034,pulse.flat,pc
66,9/17/2021,3352.519619,10:55,3353.01038,1505.085,7077.966,pulse.flat,pc
67,9/17/2021,3353.661616,10:55,3353.910654,488.136,1220.339,dws,ws
68,9/17/2021,3356.421449,10:55,3356.7848,935.593,1342.373,flatws,ws
69,9/17/2021,3365.529209,10:56,3365.817892,1749.153,7362.712,pulse.d,pc
70,9/17/2021,3370.985333,10:56,3371.70704,424.779,1464.407,flatws,ws
71,9/17/2021,3375.696655,10:56,3376.626214,1627.119,1952.542,flatws.seg,ws
72,9/17/2021,3376.83984,10:56,3377.272864,569.492,1179.661,dws,ws
73,9/17/2021,3394.137757,10:56,3395.459925,650.847,5288.136,pulse.flat,pc
74,9/17/2021,3395.78325,10:56,3396.73013,244.068,1098.305,pulse.flat.seg,pc
75,9/17/2021,3396.697456,10:56,3397.707847,1261.017,4433.898,pulse.flat,pc
76,9/17/2021,3399.957671,10:56,3400.352183,3050.847,3335.593,flatws,ws
77,9/17/2021,3402.956104,10:56,3403.458412,691.525,1138.983,flatws,ws
78,9/17/2021,3410.23671,10:56,3410.571582,569.492,1098.305,dws,ws
